,0,1,2,3,4,5,6,7,8,9
0,,,,,,,,,,
1,العاصمة,م.جابر الاحمد السكنيه,خاص,شقة,بيع,%100.000,0,18/01/2023,349.161,220000
2,الأحمدي,شرق الرقة,خاص,أرض,بيع,%100.000,0,18/01/2023,500,400000
3,الأحمدي,المهبولة,إستثماري,ارض,بيع,%100.000,أ/3,18/01/2023,487.5,585000
4,العاصمة,م.جابر الاحمد السكنيه,خاص,بيت,بيع,%100.000,7,18/01/2023,400,540000
5,الأحمدي,مدينه صباح الاحمد السكنيه,خاص,بيت,بيع,%100.000,5,18/01/2023,600,250000
6,الأحمدي,مدينه صباح الاحمد السكنيه,خاص,بيت,بيع,%100.000,2,18/01/2023,600,300000
7,الأحمدي,مدينه صباح الاحمد السكنيه,خاص,بيت,بيع,%100.000,3,18/01/2023,600,295000
8,مبارك الكبير,ض.صباح السالم,خاص,بيت,بيع,%50.000,6,18/01/2023,417.9,220000
9,الأحمدي,ض. علي صباح السالم,خاص,بيت,بيع,%15.380,6,18/01/2023,400,35000
10,الفروانية,ض.صباح الناصر,خاص,بيت,بيع,%100.000,6,18/01/2023,750,380000
11,العاصمة,م.جابر الاحمد السكنيه,خاص,بيت,بيع,%100.000,5,18/01/2023,400,600000
12,الفروانية,الفروانية,إستثماري,بناية,بيع مستحق مشاع,%100.000,62,18/01/2023,548.5,970000
13,الجهراء,القصر,خاص,بيت,بيع,%100.000,4ا,18/01/2023,1000,900000
14,الأحمدي,المهبولة,إستثماري,شقة,بيع,%100.000,0,18/01/2023,102.67,85000
15,حولي,ض. السلام,خاص,بيت,بيع,%100.000,4,18/01/2023,421.5,570000
16,حولي,السالمية,إستثماري,شقة,بيع,%100.000,0,18/01/2023,79.44,82000
17,حولي,الجابرية,إستثماري,شقة,بيع,%100.000,0,18/01/2023,200.15,180000
18,الفروانية,جليب الشيوخ,خاص,بيت,بيع,%100.000,13,18/01/2023,750,969134.08
19,مبارك الكبير,الفنيطيس,خاص,بيت,بيع,%100.000,4,18/01/2023,375,560000
20,الجهراء,م. سعد العبدالله,خاص,بيت,بيع,%100.000,3,17/01/2023,400,470000
21,حولي,سلوى,خاص,بيت,بيع,%100.000,12,17/01/2023,679.5,630000
22,الفروانية,الرقعي,إستثماري,بناية,بيع,%100.000,2,17/01/2023,750,1750000
23,مبارك الكبير,أبو فطيرة,خاص,أرض,بيع,%100.000,3,17/01/2023,500,730000
24,الأحمدي,الوفرة السكنية,خاص,بيت,بيع,%100.000,5,17/01/2023,600,245000
25,حولي,ض.الصديق,خاص,أرض,بيع,%100.000,3,17/01/2023,600,6555000
26,مبارك الكبير,أبو فطيرة,خاص,أرض,بيع,%100.000,5,17/01/2023,400,485000
27,حولي,ض.الصديق,خاص,أرض,بيع,%100.000,3,17/01/2023,500,580000
28,مبارك الكبير,مبارك الكبير,خاص,بيت,بيع,%100.000,2,17/01/2023,400,325000
29,الفروانية,الرابية,خاص,بيت,بيع,%100.000,1,17/01/2023,357,355000
30,العاصمة,القبلة - مدينه الكويت,تجاري,بناية,بيع,%100.000,7,16/01/2023,144,510000
31,12345,1,2,3,4,5,,,,
32,1,2,3,4,5,,,,,
33,,,,,,,,,,
34,حولي,ض. الزهراء,خاص,أرض,بيع,%100.000,2,16/01/2023,400,111
35,الفروانية,الفروانية,إستثماري,ارض,بيع,%100.000,58,16/01/2023,924,1930000
36,حولي,الجابرية,إستثماري,شقة,بيع,%100.000,0,16/01/2023,150.08,151
37,الأحمدي,ض. علي صباح السالم,خاص,بيت,بيع,%100.000,1,16/01/2023,400,215000
38,مبارك الكبير,غرب أبو فطيرة الحرفية,حرفي,قسيمة حرفية,بيع,%100.000,0,16/01/2023,500,2200000
39,مبارك الكبير,القصور,خاص,بيت,بيع,%100.000,3,16/01/2023,400,415000
40,الفروانية,غرب عبدالله المبارك,خاص,بيت,بيع,%100.000,4,16/01/2023,400,455000
41,الأحمدي,المهبولة,إستثماري,بناية,بيع,%100.000,2,16/01/2023,500,820000
42,العاصمة,الخالدية,خاص,أرض,تخارج بمقابل,%19.440,1,16/01/2023,667,50000
43,حولي,ض. الزهراء,خاص,أرض,بيع,%100.000,2,16/01/2023,400,111
44,مبارك الكبير,ض.صباح السالم,إستثماري,شقة,بيع,%100.000,2,16/01/2023,106.25,120000
45,الفروانية,جليب الشيوخ,خاص,بيت,تخارج بمقابل,%19.440,1,16/01/2023,500,50000
46,الأحمدي,ض. علي صباح السالم,خاص,بيت,بيع,%100.000,9,16/01/2023,400,272000
47,حولي,ض. السلام,خاص,أرض,بيع,%100.000,7,16/01/2023,500,800000
48,الأحمدي,مدينه صباح الاحمد البحريه,خاص,أرض,بيع,%100.000,0,16/01/2023,488,195000
49,العاصمة,غرناطة,خاص,بيت,بيع,%100.000,1,15/01/2023,510,442089.11
50,مبارك الكبير,أبو فطيرة,خاص,أرض,بيع,%100.000,5,15/01/2023,500,501
51,مبارك الكبير,أبو فطيرة,خاص,أرض,بيع,%100.000,5,15/01/2023,500,528
52,الأحمدي,مدينه صباح الاحمد البحريه,خاص,أرض,بيع,%100.000,0,15/01/2023,550,310000
53,حولي,السالمية,إستثماري,تحت الانشاء,بيع,%20.000,"5,4",15/01/2023,750,111
54,حولي,الشعب,خاص,بيت,بيع,%100.000,1,15/01/2023,500,800000
55,الأحمدي,المهبولة,إستثماري,شقة,بيع,%100.000,1أ,15/01/2023,103.498,83000
56,مبارك الكبير,أبو فطيرة,خاص,أرض,بيع,%100.000,5,15/01/2023,500,400
57,الجهراء,النهضة,خاص,بيت,بيع,%100.000,3,15/01/2023,400,370000
58,مبارك الكبير,أبو فطيرة,خاص,أرض,بيع,%100.000,5,15/01/2023,500,513
59,الأحمدي,الرقة,خاص,بيت,بيع,%100.000,7,15/01/2023,400,350000
60,مبارك الكبير,ض.صباح السالم,خاص,بيت,بيع مستحق مشاع,%6.770,9,15/01/2023,300.125,14895.826
61,الأحمدي,ض. جابر العلي السالم الصباح,خاص,بيت,بيع,%100.000,2,15/01/2023,392,435000
62,حولي,ض. مبارك العبدالله الصباح,خاص,بيت,بيع,%100.000,3,12/01/2023,416.5,690000
63,العاصمة,القبلة - مدينه الكويت,تجاري,بناية,بيع,%100.000,9,12/01/2023,209,3000000
64,12345,1,2,3,4,5,,,,
65,1,2,3,4,5,,,,,
66,,,,,,,,,,
67,الجهراء,م. سعد العبدالله,خاص,بيت,بيع,%100.000,8,12/01/2023,400,300000
