,Unnamed: 0,0,1,2,3,4,5,6,7,8,9,0,1,2,3,4,5,6,7,8,9
0,0.0,,,,,,,,,,,,,,,,,,,,
1,1.0,العاصمة,م.جابر الاحمد السكنيه,خاص,شقة,بيع,%100.000,0,18/01/2023,349.161,220000.0,,,,,,,,,,
2,2.0,الأحمدي,شرق الرقة,خاص,أرض,بيع,%100.000,0,18/01/2023,500.0,400000.0,,,,,,,,,,
3,3.0,الأحمدي,المهبولة,إستثماري,ارض,بيع,%100.000,أ/3,18/01/2023,487.5,585000.0,,,,,,,,,,
4,4.0,العاصمة,م.جابر الاحمد السكنيه,خاص,بيت,بيع,%100.000,7,18/01/2023,400.0,540000.0,,,,,,,,,,
5,5.0,الأحمدي,مدينه صباح الاحمد السكنيه,خاص,بيت,بيع,%100.000,5,18/01/2023,600.0,250000.0,,,,,,,,,,
6,6.0,الأحمدي,مدينه صباح الاحمد السكنيه,خاص,بيت,بيع,%100.000,2,18/01/2023,600.0,300000.0,,,,,,,,,,
7,7.0,الأحمدي,مدينه صباح الاحمد السكنيه,خاص,بيت,بيع,%100.000,3,18/01/2023,600.0,295000.0,,,,,,,,,,
8,8.0,مبارك الكبير,ض.صباح السالم,خاص,بيت,بيع,%50.000,6,18/01/2023,417.9,220000.0,,,,,,,,,,
9,9.0,الأحمدي,ض. علي صباح السالم,خاص,بيت,بيع,%15.380,6,18/01/2023,400.0,35000.0,,,,,,,,,,
10,10.0,الفروانية,ض.صباح الناصر,خاص,بيت,بيع,%100.000,6,18/01/2023,750.0,380000.0,,,,,,,,,,
11,11.0,العاصمة,م.جابر الاحمد السكنيه,خاص,بيت,بيع,%100.000,5,18/01/2023,400.0,600000.0,,,,,,,,,,
12,12.0,الفروانية,الفروانية,إستثماري,بناية,بيع مستحق مشاع,%100.000,62,18/01/2023,548.5,970000.0,,,,,,,,,,
13,13.0,الجهراء,القصر,خاص,بيت,بيع,%100.000,4ا,18/01/2023,1000.0,900000.0,,,,,,,,,,
14,14.0,الأحمدي,المهبولة,إستثماري,شقة,بيع,%100.000,0,18/01/2023,102.67,85000.0,,,,,,,,,,
15,15.0,حولي,ض. السلام,خاص,بيت,بيع,%100.000,4,18/01/2023,421.5,570000.0,,,,,,,,,,
16,16.0,حولي,السالمية,إستثماري,شقة,بيع,%100.000,0,18/01/2023,79.44,82000.0,,,,,,,,,,
17,17.0,حولي,الجابرية,إستثماري,شقة,بيع,%100.000,0,18/01/2023,200.15,180000.0,,,,,,,,,,
18,18.0,الفروانية,جليب الشيوخ,خاص,بيت,بيع,%100.000,13,18/01/2023,750.0,969134.08,,,,,,,,,,
19,19.0,مبارك الكبير,الفنيطيس,خاص,بيت,بيع,%100.000,4,18/01/2023,375.0,560000.0,,,,,,,,,,
20,20.0,الجهراء,م. سعد العبدالله,خاص,بيت,بيع,%100.000,3,17/01/2023,400.0,470000.0,,,,,,,,,,
21,21.0,حولي,سلوى,خاص,بيت,بيع,%100.000,12,17/01/2023,679.5,630000.0,,,,,,,,,,
22,22.0,الفروانية,الرقعي,إستثماري,بناية,بيع,%100.000,2,17/01/2023,750.0,1750000.0,,,,,,,,,,
23,23.0,مبارك الكبير,أبو فطيرة,خاص,أرض,بيع,%100.000,3,17/01/2023,500.0,730000.0,,,,,,,,,,
24,24.0,الأحمدي,الوفرة السكنية,خاص,بيت,بيع,%100.000,5,17/01/2023,600.0,245000.0,,,,,,,,,,
25,25.0,حولي,ض.الصديق,خاص,أرض,بيع,%100.000,3,17/01/2023,600.0,6555000.0,,,,,,,,,,
26,26.0,مبارك الكبير,أبو فطيرة,خاص,أرض,بيع,%100.000,5,17/01/2023,400.0,485000.0,,,,,,,,,,
27,27.0,حولي,ض.الصديق,خاص,أرض,بيع,%100.000,3,17/01/2023,500.0,580000.0,,,,,,,,,,
28,28.0,مبارك الكبير,مبارك الكبير,خاص,بيت,بيع,%100.000,2,17/01/2023,400.0,325000.0,,,,,,,,,,
29,29.0,الفروانية,الرابية,خاص,بيت,بيع,%100.000,1,17/01/2023,357.0,355000.0,,,,,,,,,,
30,30.0,العاصمة,القبلة - مدينه الكويت,تجاري,بناية,بيع,%100.000,7,16/01/2023,144.0,510000.0,,,,,,,,,,
31,31.0,12345,1,2,3,4,5,,,,,,,,,,,,,,
32,32.0,1,2,3,4,5,,,,,,,,,,,,,,,
33,33.0,,,,,,,,,,,,,,,,,,,,
34,34.0,حولي,ض. الزهراء,خاص,أرض,بيع,%100.000,2,16/01/2023,400.0,111.0,,,,,,,,,,
35,35.0,الفروانية,الفروانية,إستثماري,ارض,بيع,%100.000,58,16/01/2023,924.0,1930000.0,,,,,,,,,,
36,36.0,حولي,الجابرية,إستثماري,شقة,بيع,%100.000,0,16/01/2023,150.08,151.0,,,,,,,,,,
37,37.0,الأحمدي,ض. علي صباح السالم,خاص,بيت,بيع,%100.000,1,16/01/2023,400.0,215000.0,,,,,,,,,,
38,38.0,مبارك الكبير,غرب أبو فطيرة الحرفية,حرفي,قسيمة حرفية,بيع,%100.000,0,16/01/2023,500.0,2200000.0,,,,,,,,,,
39,39.0,مبارك الكبير,القصور,خاص,بيت,بيع,%100.000,3,16/01/2023,400.0,415000.0,,,,,,,,,,
40,40.0,الفروانية,غرب عبدالله المبارك,خاص,بيت,بيع,%100.000,4,16/01/2023,400.0,455000.0,,,,,,,,,,
41,41.0,الأحمدي,المهبولة,إستثماري,بناية,بيع,%100.000,2,16/01/2023,500.0,820000.0,,,,,,,,,,
42,42.0,العاصمة,الخالدية,خاص,أرض,تخارج بمقابل,%19.440,1,16/01/2023,667.0,50000.0,,,,,,,,,,
43,43.0,حولي,ض. الزهراء,خاص,أرض,بيع,%100.000,2,16/01/2023,400.0,111.0,,,,,,,,,,
44,44.0,مبارك الكبير,ض.صباح السالم,إستثماري,شقة,بيع,%100.000,2,16/01/2023,106.25,120000.0,,,,,,,,,,
45,45.0,الفروانية,جليب الشيوخ,خاص,بيت,تخارج بمقابل,%19.440,1,16/01/2023,500.0,50000.0,,,,,,,,,,
